Cases,Pop_Estimate,Median_Income,Unemployment,Less_Highschool,Highschool,Associates,Bachelors,PCTPov_All,Pop_Density
139,25566,71296,8.7,10.3,31.7,29.6,28.4,6.7,3.40E-06
139,3296,71296,8.7,10.3,31.7,29.6,28.4,6.7,4.39E-07
36,6147,50049,9.2,9.2,37.9,34.6,18.3,17.6,4.51E-07
91,8405,80660,6.9,5.3,27.4,34,33.4,8.1,1.13E-06
6,1179,74898,21.5,5.3,29.2,35.9,29.6,4,1.05E-06
260,6957,69646,7.4,10.1,34.2,35.9,19.7,12,1.08E-07
273,46552,74574,8.7,4.6,30.8,33.7,30.8,8.6,5.25E-07
27,2510,62496,8.4,13.5,35.3,31.8,19.4,9.7,3.79E-07
27,23113,62496,8.4,13.5,35.3,31.8,19.4,9.7,3.49E-06
0,637,61587,8.5,8.8,33.5,35.1,22.6,14.7,3.23E-08
141,5077,42063,12.1,14,40.2,32.2,13.6,24.4,1.35E-08
168,9447,68066,5.5,11.9,34.7,39.8,13.5,9.3,1.98E-06
211701,48998,68634,7.4,12.3,22.4,32.6,32.7,12.2,2.06E-06
9767,28684,49712,10,13.9,35.3,37.8,12.9,16,8.32E-07
4634,153192,40676,10.1,16.6,30.3,37.8,15.3,25.2,5.94E-06
44570,48353,56150,7.7,11.6,22.2,33.8,32.4,14,2.03E-06
23179,49019,62067,7.5,14.2,29.3,37,19.5,12.1,3.53E-06
1837,14646,47779,11.4,23.4,28.7,27.5,20.4,18.8,4.57E-06
7162,2145,54242,7.5,9,25.8,39.3,25.9,12,1.02E-07
9270,287066,47024,17.1,26.7,25.7,32.5,15,20.4,2.01E-05
425,49685,39982,5.8,19,41.3,25.4,14.3,22.9,2.95E-05
171,7169,48415,5.2,15.8,44.7,28.1,11.4,15.4,4.40E-06
690,25341,43841,5.7,13.7,35.9,29.1,21.2,14.7,1.55E-05
195,28837,37014,10.3,19.2,38.1,26.8,15.9,31,1.73E-05
713,26897,44105,5.9,10,30.2,33.1,26.6,20.6,1.20E-05
419,57764,40686,6,17.5,41.9,28,12.6,18.7,3.49E-05
686,58328,46214,7.6,14.1,42.8,27.6,15.5,14.1,4.07E-05
373,42015,53773,6.1,10.4,46.6,26.8,16.2,13.7,2.71E-05
